Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,region,address,aux addres,latitude,longitude,type,power,service,Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,Car,Style,Transmission,VehicleType,PriceRange(Lakhs),Capacity,BootSpace,BaseModel,TopModel
Smart EQ fortwo cabrio,Battery Electric Vehicle |       16.7 kWh ,11.9 sec,130 km/h,95 km,176 Wh/km,-,Rear Wheel Drive,2.0,"€21,720","£21,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart EQ forfour ,Battery Electric Vehicle |       16.7 kWh ,12.7 sec,130 km/h,95 km,176 Wh/km,-,Rear Wheel Drive,4.0,"€19,120","£19,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda e Advance,Battery Electric Vehicle |       28.5 kWh ,8.3 sec,145 km/h,170 km,168 Wh/km,190 km/h,Rear Wheel Drive,4.0,"€38,000","£30,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byton M-Byte 72 kWh 2WD,Battery Electric Vehicle |       72 kWh ,7.5 sec,190 km/h,325 km,222 Wh/km,420 km/h,Rear Wheel Drive,5.0,"€53,500","£50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byton M-Byte 95 kWh 4WD,Battery Electric Vehicle |       95 kWh ,5.5 sec,190 km/h,390 km,244 Wh/km,460 km/h,All Wheel Drive,5.0,"€64,000","£60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renault Zoe ZE40 R110,Battery Electric Vehicle |       41 kWh,11.4 sec,135 km/h,255 km,161 Wh/km,230 km/h,Front Wheel Drive,5.0,"€29,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porsche Taycan 4S,Battery Electric Vehicle |       71 kWh,4.0 sec,250 km/h,375 km,189 Wh/km,750 km/h,All Wheel Drive,4.0,"€106,487","£83,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porsche Taycan 4S Plus,Battery Electric Vehicle |       83.7 kWh,4.0 sec,250 km/h,435 km,192 Wh/km,910 km/h,All Wheel Drive,4.0,"€113,008","£88,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9 sec,155 km/h,250 km,157 Wh/km,210 km/h,Front Wheel Drive,5.0,"€34,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes EQV 300 Long,Battery Electric Vehicle |       90 kWh,12.1 sec,160 km/h,320 km,281 Wh/km,280 km/h,Front Wheel Drive,7.0,"€71,388","£70,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazda MX-30 ,Battery Electric Vehicle |       30 kWh ,9.7 sec,140 km/h,170 km,176 Wh/km,180 km/h,Front Wheel Drive,5.0,"€34,490","£26,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford Mustang Mach-E SR RWD,Battery Electric Vehicle |       68 kWh,6.9 sec,180 km/h,345 km,197 Wh/km,380 km/h,Rear Wheel Drive,5.0,"€46,900","£41,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford Mustang Mach-E ER RWD,Battery Electric Vehicle |       88 kWh,7.0 sec,180 km/h,440 km,200 Wh/km,430 km/h,Rear Wheel Drive,5.0,"€54,475","£49,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford Mustang Mach-E SR AWD,Battery Electric Vehicle |       68 kWh,6.3 sec,180 km/h,330 km,206 Wh/km,360 km/h,All Wheel Drive,5.0,"€54,000","£46,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford Mustang Mach-E ER AWD,Battery Electric Vehicle |       88 kWh,5.8 sec,180 km/h,420 km,210 Wh/km,410 km/h,All Wheel Drive,5.0,"€62,900","£57,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford Mustang Mach-E GT,Battery Electric Vehicle |       88 kWh,4.4 sec,200 km/h,410 km,215 Wh/km,400 km/h,All Wheel Drive,5.0,,"£67,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi e-tron Sportback 50 quattro,Battery Electric Vehicle |       64.7 kWh,6.8 sec,190 km/h,295 km,219 Wh/km,490 km/h,All Wheel Drive,5.0,"€71,350","£69,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Cybertruck Single Motor,Battery Electric Vehicle |       100 kWh ,7.0 sec,180 km/h,390 km,256 Wh/km,740 km/h,Rear Wheel Drive,7.0,"€45,000","£39,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Cybertruck Dual Motor,Battery Electric Vehicle |       120 kWh ,5.0 sec,190 km/h,460 km,261 Wh/km,710 km/h,All Wheel Drive,7.0,"€55,000","£48,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Cybertruck Tri Motor,Battery Electric Vehicle |       200 kWh ,3.0 sec,210 km/h,750 km,267 Wh/km,710 km/h,All Wheel Drive,7.0,"€75,000","£68,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexus UX 300e,Battery Electric Vehicle |       50 kWh ,7.5 sec,160 km/h,260 km,192 Wh/km,150 km/h,Front Wheel Drive,5.0,"€47,550","£43,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW i4 eDrive40,Battery Electric Vehicle |       80.7 kWh,5.7 sec,190 km/h,475 km,170 Wh/km,660 km/h,Rear Wheel Drive,5.0,"€58,300","£51,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi e-tron 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7 sec,200 km/h,365 km,237 Wh/km,590 km/h,All Wheel Drive,5.0,,"£71,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiways U5 ,Battery Electric Vehicle |       63 kWh ,7.5 sec,150 km/h,335 km,188 Wh/km,350 km/h,Front Wheel Drive,5.0,"€35,993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renault Twingo Electric,Battery Electric Vehicle |       21.3 kWh,12.6 sec,135 km/h,130 km,164 Wh/km,-,Rear Wheel Drive,4.0,"€24,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi e-tron S 55 quattro,Battery Electric Vehicle |       86.5 kWh,4.5 sec,210 km/h,320 km,270 Wh/km,510 km/h,All Wheel Drive,5.0,"€93,800","£87,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi e-tron S Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,4.5 sec,210 km/h,335 km,258 Wh/km,540 km/h,All Wheel Drive,5.0,"€96,050","£88,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen ID.4 1st,Battery Electric Vehicle |       77 kWh,8.5 sec,160 km/h,410 km,188 Wh/km,500 km/h,Rear Wheel Drive,5.0,,"£40,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byton M-Byte 95 kWh 2WD,Battery Electric Vehicle |       95 kWh ,7.5 sec,190 km/h,400 km,238 Wh/km,480 km/h,Rear Wheel Drive,5.0,"€62,000","£57,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat 500e Cabrio,Battery Electric Vehicle |       37.3 kWh ,9.0 sec,150 km/h,245 km,152 Wh/km,410 km/h,Front Wheel Drive,4.0,"€30,560","£26,645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opel Mokka-e ,Battery Electric Vehicle |       45 kWh ,8.5 sec,150 km/h,255 km,176 Wh/km,340 km/h,Front Wheel Drive,5.0,"€34,110","£30,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skoda Enyaq iV 60,Battery Electric Vehicle |       58 kWh,8.7 sec,160 km/h,330 km,176 Wh/km,420 km/h,Rear Wheel Drive,5.0,"€38,850","£31,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skoda Enyaq iV 80,Battery Electric Vehicle |       77 kWh,8.6 sec,160 km/h,420 km,183 Wh/km,510 km/h,Rear Wheel Drive,5.0,"€43,950","£39,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skoda Enyaq iV 80X,Battery Electric Vehicle |       77 kWh,6.9 sec,160 km/h,405 km,190 Wh/km,500 km/h,All Wheel Drive,5.0,"€47,000","£42,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skoda Enyaq iV RS,Battery Electric Vehicle |       77 kWh,6.2 sec,180 km/h,395 km,195 Wh/km,480 km/h,All Wheel Drive,5.0,"€50,000","£45,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat 500e Hatchback 42 kWh,Battery Electric Vehicle |       37.3 kWh ,9.0 sec,150 km/h,250 km,149 Wh/km,420 km/h,Front Wheel Drive,4.0,"€27,560","£23,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen e-C4 ,Battery Electric Vehicle |       45 kWh ,9.7 sec,150 km/h,250 km,180 Wh/km,330 km/h,Front Wheel Drive,5.0,"€34,640","£30,895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguar I-Pace EV400,Battery Electric Vehicle |       84.7 kWh,4.8 sec,200 km/h,365 km,232 Wh/km,340 km/h,All Wheel Drive,5.0,"€77,300","£65,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5.0,"€37,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia e-Soul 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9 sec,157 km/h,230 km,170 Wh/km,220 km/h,Front Wheel Drive,5.0,"€33,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi Q4 Sportback e-tron 35,Battery Electric Vehicle |       51.5 kWh,9.0 sec,160 km/h,295 km,175 Wh/km,410 km/h,Rear Wheel Drive,5.0,"€43,900","£42,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan Ariya 63kWh,Battery Electric Vehicle |       63 kWh,7.5 sec,160 km/h,335 km,188 Wh/km,450 km/h,Front Wheel Drive,5.0,"€45,000","£40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan Ariya 87kWh,Battery Electric Vehicle |       87 kWh,7.6 sec,160 km/h,445 km,196 Wh/km,530 km/h,Front Wheel Drive,5.0,"€50,000","£45,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan Ariya e-4ORCE 63kWh,Battery Electric Vehicle |       63 kWh,5.9 sec,200 km/h,325 km,194 Wh/km,440 km/h,All Wheel Drive,5.0,"€50,000","£45,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan Ariya e-4ORCE 87kWh,Battery Electric Vehicle |       87 kWh,5.7 sec,200 km/h,420 km,207 Wh/km,500 km/h,All Wheel Drive,5.0,"€57,500","£52,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan Ariya e-4ORCE 87kWh Performance,Battery Electric Vehicle |       87 kWh,5.1 sec,200 km/h,385 km,226 Wh/km,460 km/h,All Wheel Drive,5.0,"€65,000","£57,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen ID.3 Pro Performance,Battery Electric Vehicle |       58 kWh,7.3 sec,160 km/h,350 km,166 Wh/km,440 km/h,Rear Wheel Drive,5.0,"€36,495","£29,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG MG5 EV,Battery Electric Vehicle |       48.8 kWh,7.7 sec,185 km/h,295 km,165 Wh/km,340 km/h,Front Wheel Drive,5.0,,"£25,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen ID.4 Pro Performance,Battery Electric Vehicle |       77 kWh,8.5 sec,160 km/h,410 km,188 Wh/km,500 km/h,Rear Wheel Drive,5.0,"€44,450","£41,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes EQV 300 Extra-Long,Battery Electric Vehicle |       90 kWh,12.1 sec,160 km/h,320 km,281 Wh/km,280 km/h,Front Wheel Drive,7.0,"€72,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Air Grand Touring,Battery Electric Vehicle |       110 kWh ,3.2 sec,270 km/h,660 km,167 Wh/km,1380 km/h,All Wheel Drive,5.0,"€140,000","£125,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Air Touring,Battery Electric Vehicle |       85 kWh ,3.4 sec,250 km/h,530 km,160 Wh/km,1390 km/h,All Wheel Drive,5.0,"€95,000","£90,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Air Pure,Battery Electric Vehicle |       85 kWh ,4.2 sec,200 km/h,540 km,157 Wh/km,1410 km/h,Rear Wheel Drive,5.0,"€80,000","£70,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dacia Spring Electric,Battery Electric Vehicle |       26.8 kWh ,15.0 sec,125 km/h,170 km,158 Wh/km,120 km/h,Front Wheel Drive,4.0,"€20,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Model 3 Standard Range Plus LFP,Battery Electric Vehicle |       51 kWh ,5.6 sec,225 km/h,340 km,150 Wh/km,570 km/h,Rear Wheel Drive,5.0,"€43,560","£40,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle |       70 kWh ,4.4 sec,233 km/h,455 km,154 Wh/km,570 km/h,All Wheel Drive,5.0,,"£48,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Model 3 Performance,Battery Electric Vehicle |       76 kWh ,3.3 sec,261 km/h,470 km,162 Wh/km,790 km/h,All Wheel Drive,5.0,"€58,560","£59,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat 500e Hatchback 24 kWh,Battery Electric Vehicle |       23.8 kWh ,9.5 sec,135 km/h,165 km,144 Wh/km,260 km/h,Front Wheel Drive,4.0,"€23,560","£20,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat 500e 3+1,Battery Electric Vehicle |       37.3 kWh ,9.0 sec,150 km/h,245 km,152 Wh/km,410 km/h,Front Wheel Drive,4.0,"€29,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes EQC 400 4MATIC,Battery Electric Vehicle |       80 kWh,5.1 sec,180 km/h,370 km,216 Wh/km,440 km/h,All Wheel Drive,5.0,"€66,069","£65,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia e-Niro 64 kWh,Battery Electric Vehicle |       64 kWh,7.8 sec,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5.0,"€39,090","£32,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia e-Niro 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.8 sec,155 km/h,235 km,167 Wh/km,230 km/h,Front Wheel Drive,5.0,"€35,290","£30,345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen e-SpaceTourer XS 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7.0,"€50,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen e-SpaceTourer M 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7.0,"€51,440","£31,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen e-SpaceTourer XL 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 km/h,180 km,250 Wh/km,240 km/h,Front Wheel Drive,7.0,"€52,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen e-SpaceTourer M 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7.0,"€57,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citroen e-SpaceTourer XL 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7.0,"€58,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opel Zafira-e Life S 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7.0,"€56,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opel Zafira-e Life M 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7.0,"€53,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opel Zafira-e Life L 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 km/h,180 km,250 Wh/km,240 km/h,Front Wheel Drive,7.0,"€54,625","£49,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opel Zafira-e Life M 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7.0,"€59,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opel Zafira-e Life L 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7.0,"€60,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
