SOC_Percent,Voltage_V,Current_A,Battery_Temp_C,Ambient_Temp_C,Charging_Duration_min,Degradation_Rate_Percent,Charging_Mode,Efficiency_Percent,Battery_Type,Charging_Cycles,EV_Model,Optimal_Charging_Duration_Class,Charging_Date,Charging_Start_Hour,City,Energy_kWh,Battery_Capacity_kWh,Estimated_Range_km,Battery_Health_Percent,Charging_Cost_INR,Load_Category,Efficiency_Category,Stress_Index,Efficiency_Loss_per_Cycle
43.708610696262625,3.629593050187034,33.55351153623154,33.45405988417796,26.439917565671855,59.363552027744205,8.805096198000713,Fast,98.23898076039984,Li-ion,112,Model B,1,2025-02-12,20,Chennai,7.229625343619198,60,294.7169422811995,91.19490380199929,57.83700274895359,Low,High,1985.9518244736685,0.07792120529204172
95.56428757689244,3.879330663164851,32.22809191647998,35.933627943827446,31.108646585999725,67.34356593750215,12.186859604161176,Fast,97.56262807916777,LiFePO4,398,Model A,1,2025-06-18,16,Hyderabad,8.419523277806102,40,195.12525615833553,87.81314039583883,67.35618622244881,Low,High,2419.8986428088133,0.030543507779852572
75.87945476302646,4.111062085113486,91.5629122468933,25.00935797584998,30.20321859580318,105.45473932021804,13.832335580295329,Slow,97.23353288394094,LiFePO4,175,Model A,2,2025-01-11,1,Delhi,39.69535912519308,40,194.46706576788188,86.16766441970466,317.56287300154463,Medium,High,2637.3553259092755,0.07859281579713255
63.8792635777333,4.012557420486693,32.45915798645555,32.49748199213998,18.077998093875472,54.00043860598922,9.318873828992766,Fast,98.13622523420143,LiFePO4,150,Model B,1,2025-05-23,1,Bangalore,7.033245828931952,60,294.4086757026043,90.68112617100724,56.26596663145562,Low,High,1754.8782811657952,0.061714396218495136
24.041677639819287,4.0645928035030146,34.47547535157679,31.434919662874975,17.984989394829476,106.96496848121711,11.687577238569476,Fast,97.6624845522861,Li-ion,886,Model C,2,2025-04-16,3,Mumbai,14.988869360612366,75,366.23431707107284,88.31242276143053,119.91095488489893,Low,High,3362.4351909490138,0.013176524507970097
24.03950683025824,3.9611483566975023,78.34584361761674,36.65660753576542,20.363487354898268,28.81344309766915,5.435925976440278,Slow,98.91281480471194,Li-ion,248,Model C,0,2025-06-17,0,Hyderabad,8.941949803699552,75,370.92305551766975,94.56407402355973,71.53559842959642,Low,High,1056.2030753853671,0.021831028017832443
15.227525095137953,3.984593595162497,50.4765858205486,38.12174120962521,22.221494526820745,97.67984372086308,10.807450291976748,Fast,97.83850994160466,LiFePO4,830,Model B,2,2025-06-24,11,Chennai,19.64621808549255,60,293.515529824814,89.19254970802325,157.1697446839404,Low,High,3723.7257237233766,0.013005355345339047
87.95585311974416,4.0944369560957234,79.9039501259663,20.243135429547735,23.169111628169652,104.75476330547365,14.139513036254067,Fast,97.17209739274918,LiFePO4,221,Model A,2,2025-05-11,20,Chennai,34.27174501451535,40,194.34419478549836,85.86048696374593,274.1739601161228,Medium,High,2120.5648604829207,0.06369150016330662
64.1003510568888,3.67476760620143,15.882954180794671,33.48039838117585,28.593944336666905,38.181765283733874,8.06085124554772,Slow,98.38782975089046,Li-ion,310,Model B,0,2025-01-01,19,Delhi,2.2285232321810784,60,295.1634892526714,91.93914875445228,17.828185857448627,Low,High,1278.34071259596,0.02591913583777402
73.7265320016441,3.8425974745501983,53.88140743060459,21.03671598239458,16.13360864331671,63.03465323722004,9.991050168970272,Slow,98.00178996620596,Li-ion,379,Model C,1,2025-02-23,18,Chennai,13.050982051694135,75,367.5067123732724,90.00894983102972,104.40785641355308,Low,High,1326.042097200127,0.026292237286763873
